Non-Terminal,FIRST,FOLLOW
"logical_and_expr","{ SCIENTIFIC, -, INT, FLOAT, +, IDENTIFIER, (, ! }","{ ||, ), $ }"
"/","{ / }","{  }"
"equality_tail","{ ==, !=, ε }","{ &&, ||, ), $ }"
"logical_and_tail","{ &&, ε }","{ ||, ), $ }"
"INT","{ INT }","{  }"
"-","{ - }","{  }"
"+","{ + }","{  }"
"equality_expr","{ SCIENTIFIC, -, INT, FLOAT, +, IDENTIFIER, (, ! }","{ &&, ||, ), $ }"
")","{ ) }","{  }"
"expression","{ SCIENTIFIC, -, INT, FLOAT, +, IDENTIFIER, (, ! }","{ ), $ }"
"additive_expr","{ SCIENTIFIC, -, INT, FLOAT, +, IDENTIFIER, (, ! }","{ ==, &&, >=, ||, ~, >, !~, <, !=, ), $, <= }"
"relational_tail","{ >=, >, <, ε, <= }","{ ==, &&, ||, !=, ), $ }"
"%","{ % }","{  }"
"unary_expr","{ SCIENTIFIC, -, INT, FLOAT, +, IDENTIFIER, (, ! }","{ /, -, +, *, ), %, $, <=, ==, &&, >=, ||, ^, ~, >, !~, <, != }"
"!","{ ! }","{  }"
"&&","{ && }","{  }"
"||","{ || }","{  }"
"~","{ ~ }","{  }"
">","{ > }","{  }"
"FLOAT","{ FLOAT }","{  }"
"<","{ < }","{  }"
"!=","{ != }","{  }"
"logical_or_tail","{ ||, ε }","{ ), $ }"
"additive_tail","{ -, +, ε }","{ ==, &&, >=, ||, ~, >, !~, <, !=, ), $, <= }"
"exponent_expr","{ SCIENTIFIC, -, INT, FLOAT, +, IDENTIFIER, (, ! }","{ /, -, +, *, ), %, $, <=, ==, &&, >=, ||, ~, >, !~, <, != }"
"*","{ * }","{  }"
"IDENTIFIER","{ IDENTIFIER }","{  }"
"(","{ ( }","{  }"
"exponent_tail","{ ^, ε }","{ /, -, +, *, ), %, $, <=, ==, &&, >=, ||, ~, >, !~, <, != }"
"$","{ $ }","{  }"
"primary_expr","{ SCIENTIFIC, INT, FLOAT, IDENTIFIER, ( }","{ /, -, +, *, ), %, $, <=, ==, &&, >=, ||, ^, ~, >, !~, <, != }"
"number","{ SCIENTIFIC, INT, FLOAT }","{ /, -, +, *, ), %, $, <=, ==, &&, >=, ||, ^, ~, >, !~, <, != }"
"<=","{ <= }","{  }"
"==","{ == }","{  }"
"match_expr","{ SCIENTIFIC, -, INT, FLOAT, +, IDENTIFIER, (, ! }","{ ==, &&, >=, ||, >, <, !=, ), $, <= }"
"multiplicative_tail","{ /, *, %, ε }","{ -, +, ), $, <=, ==, &&, >=, ||, ~, >, !~, <, != }"
"SCIENTIFIC","{ SCIENTIFIC }","{  }"
">=","{ >= }","{  }"
"^","{ ^ }","{  }"
"match_tail","{ ~, !~, ε }","{ ==, &&, >=, ||, >, <, !=, ), $, <= }"
"!~","{ !~ }","{  }"
"logical_or_expr","{ SCIENTIFIC, -, INT, FLOAT, +, IDENTIFIER, (, ! }","{ ), $ }"
"relational_expr","{ SCIENTIFIC, -, INT, FLOAT, +, IDENTIFIER, (, ! }","{ ==, &&, ||, !=, ), $ }"
"multiplicative_expr","{ SCIENTIFIC, -, INT, FLOAT, +, IDENTIFIER, (, ! }","{ -, +, ), $, <=, ==, &&, >=, ||, ~, >, !~, <, != }"
"ε","{ ε }","{  }"
